client_id,age,situation_familiale,nb_enfants,revenu_mensuel,patrimoine,anciennete_client,type_contrat,taux_endettement,montant_credit,duree_credit,historique_impayes,score_interne,defaut
37,59,Célibataire,3,2252.28,33240.0,21,CDI,22.92,13459.03,60,0,676,0
38,45,Célibataire,1,800.0,83156.76,5,CDI,39.59,16083.04,300,1,713,0
39,33,Marié,1,2682.09,0.0,16,CDI,29.3,2966.64,240,0,635,0
40,32,Divorcé,3,3627.02,28556.03,27,CDI,19.35,26041.06,60,0,849,0
41,64,Marié,1,2065.06,60427.16,10,Indépendant,20.19,13656.37,12,1,365,1
42,68,Marié,2,2661.66,12741.02,6,Retraité,10.2,30719.11,48,0,864,0
43,61,Célibataire,1,1996.42,0.0,14,CDD,31.47,40393.97,60,1,628,0
44,72,Marié,1,2853.65,78236.24,3,Indépendant,40.4,22339.4,240,3,385,0
45,69,Marié,1,3310.66,72773.63,7,CDI,28.95,1000.0,48,0,640,0
46,74,Marié,1,2486.37,0.0,24,CDI,41.71,9414.04,300,0,445,0
47,20,Célibataire,2,1968.47,32841.16,1,CDD,29.14,35005.76,300,0,710,0
48,54,Célibataire,1,2786.95,25433.78,23,Indépendant,25.6,26665.72,60,0,546,0
49,68,Célibataire,1,4315.16,122646.39,10,Indépendant,34.76,6988.17,36,0,407,0
50,24,Marié,2,2814.97,0.0,7,CDI,26.44,41747.68,180,1,444,0
51,38,Marié,0,1226.82,32001.29,21,CDD,29.1,35199.31,60,0,682,0
52,26,Divorcé,1,4392.13,80401.73,29,CDI,28.62,34742.74,60,1,419,0
53,56,Marié,2,1685.35,45213.56,18,Indépendant,10.32,15358.82,36,0,693,1
54,35,Marié,0,1716.2,92821.74,4,CDD,34.17,56261.01,300,0,763,0
55,21,Divorcé,0,3508.34,0.0,17,CDI,12.95,19305.16,240,0,615,0
56,42,Célibataire,2,2079.99,0.0,29,CDI,24.3,29340.63,48,0,492,0
57,31,Célibataire,1,2997.36,37398.44,29,CDI,61.32,22791.92,24,1,398,0
58,67,Divorcé,2,2925.12,69545.31,5,CDI,46.31,1000.0,60,0,378,0
59,75,Célibataire,2,2940.1,50162.07,29,CDI,19.23,12875.44,36,0,625,0
60,26,Divorcé,1,3944.33,74470.58,18,CDI,15.56,26362.33,60,3,642,0
61,43,Veuf,2,2231.89,36527.5,19,CDI,24.37,35087.44,180,0,453,0
62,70,Marié,2,2533.88,0.0,24,CDI,33.24,1000.0,60,3,304,0
63,19,Marié,1,1583.01,72091.46,25,Indépendant,3.12,15146.77,120,0,760,0
64,37,Marié,0,3246.71,0.0,4,Retraité,23.97,36704.58,120,1,894,0
65,45,Marié,1,2705.92,11256.69,12,Retraité,47.56,4488.12,60,0,301,0
66,64,Célibataire,0,3758.01,0.0,22,CDI,25.41,22074.39,300,0,857,0
67,24,Célibataire,1,2868.26,57308.36,11,CDD,15.44,18628.76,60,0,540,0
68,61,Célibataire,2,4231.27,46786.97,8,CDI,11.75,18057.98,12,0,453,0
69,25,Marié,0,2372.57,4478.84,28,Retraité,11.53,4494.61,180,0,406,0
70,64,Célibataire,0,2735.15,18253.11,4,Retraité,49.14,29998.66,240,1,714,0
71,52,Célibataire,2,2569.11,35917.81,16,Retraité,33.36,12470.9,60,0,714,0
72,31,Célibataire,0,1805.94,75349.3,17,CDI,28.99,15526.53,24,2,489,1
73,34,Marié,1,800.0,51124.71,2,CDI,42.7,40070.4,24,1,355,0
74,53,Veuf,2,2724.63,61401.64,18,CDD,42.09,13937.99,120,1,553,0
75,67,Veuf,1,899.17,67311.15,14,CDI,28.81,32081.82,36,0,473,0
76,57,Marié,2,2964.13,49141.58,16,Indépendant,37.93,3994.81,36,1,697,0
77,21,Divorcé,3,3656.08,58529.85,8,CDD,11.17,40925.08,180,0,404,0
78,19,Marié,1,2440.49,44301.19,29,CDI,28.53,8891.22,48,0,763,0
79,23,Marié,2,2881.9,108946.01,24,Indépendant,28.16,8776.4,60,1,548,0
80,71,Marié,0,2915.88,71159.58,27,CDI,9.01,17461.77,60,0,806,0
81,59,Célibataire,2,3450.02,123366.31,3,CDD,24.07,18296.94,60,0,714,1
82,21,Divorcé,0,2401.66,100725.93,8,CDI,59.84,54636.34,60,0,380,0
83,71,Célibataire,1,1291.5,42055.34,3,CDI,36.58,11353.29,120,0,866,0
84,46,Marié,3,800.0,42129.67,23,Indépendant,28.5,19354.63,120,1,465,0
85,35,Marié,3,2153.63,0.0,2,CDI,13.64,16546.78,48,0,521,0
86,43,Célibataire,2,870.09,5604.6,8,CDI,56.09,18841.21,36,0,575,0
87,61,Célibataire,1,2537.86,90391.94,10,CDD,45.13,44666.61,36,0,592,0
88,51,Marié,1,2751.45,88451.78,10,CDD,39.85,20658.11,48,2,582,0
89,27,Célibataire,1,1972.35,0.0,19,CDI,23.66,7120.3,180,1,839,0
90,53,Marié,1,3238.22,102612.59,28,CDI,0.0,1000.0,240,0,537,0
91,31,Marié,2,2660.54,97380.22,7,CDI,50.12,49658.25,180,0,813,0
92,48,Marié,0,1837.53,94715.64,28,CDI,50.75,23164.92,12,2,739,0
93,65,Marié,2,2044.76,70491.06,1,CDI,29.82,30237.14,120,0,579,0
94,32,Marié,1,3849.96,70318.3,15,Retraité,10.28,26921.74,180,0,676,0
95,25,Marié,2,800.0,42591.4,22,CDI,35.42,14572.56,120,3,358,0
96,31,Marié,0,2259.32,24680.92,1,CDD,26.84,16151.13,24,0,647,0
97,40,Marié,1,2698.45,95422.61,20,CDI,53.79,14088.11,120,0,592,0
98,74,Marié,2,1892.44,39516.4,24,CDI,29.69,7996.55,120,0,360,0
99,57,Divorcé,2,1777.73,0.0,20,CDI,28.16,17414.18,120,0,459,0
100,38,Célibataire,2,3604.48,74817.69,29,Indépendant,22.9,17979.12,180,1,362,0
101,33,Marié,4,4541.79,7854.88,19,Indépendant,24.8,1000.0,48,0,437,0
102,62,Divorcé,2,2165.62,56079.19,23,CDI,13.43,27684.05,120,0,677,1
103,35,Célibataire,0,2525.47,116384.27,4,CDI,45.46,9319.8,60,0,551,0
104,64,Célibataire,1,3080.22,134091.14,8,CDD,10.86,42513.69,180,0,766,0
105,70,Marié,2,1481.45,77746.06,24,CDI,28.14,39370.86,60,0,522,0
106,41,Célibataire,0,2570.2,102621.21,1,CDI,34.96,23359.42,180,1,463,0
107,43,Célibataire,0,4033.56,79796.46,25,CDI,5.84,1000.0,120,0,642,1
108,42,Veuf,2,4883.52,82183.62,8,CDI,21.5,37010.23,48,0,315,0
109,62,Marié,0,1251.89,86773.87,10,CDI,32.55,22592.7,300,1,867,0
110,58,Célibataire,2,1605.2,7279.94,7,CDI,29.04,3939.39,48,0,769,1
111,46,Veuf,1,2068.01,0.0,29,CDI,29.66,36630.39,60,0,308,0
112,32,Veuf,1,2129.18,90537.66,25,CDI,9.14,1000.0,180,0,512,0
113,62,Marié,0,3583.67,62252.35,6,CDD,11.35,15666.67,120,1,677,0
114,18,Célibataire,2,2534.17,56366.77,5,CDI,39.35,44573.57,120,0,300,0
115,42,Marié,2,3502.14,31018.3,19,CDI,44.64,30574.28,60,1,345,1
116,24,Marié,3,2741.66,35675.69,26,Indépendant,47.3,23058.2,120,0,890,0
117,26,Marié,3,2386.36,100268.01,14,CDI,29.21,19488.85,120,0,582,0
118,41,Divorcé,1,2946.84,16046.3,14,CDI,39.02,20952.66,300,1,396,0
119,18,Marié,2,800.0,50535.2,6,CDI,6.7,45929.06,48,0,701,0
120,61,Célibataire,1,2172.67,18471.3,27,CDD,10.66,1000.0,240,0,625,0
121,25,Marié,1,2209.36,0.0,27,CDI,24.47,27860.22,60,0,837,0
122,41,Célibataire,4,1107.61,54281.07,21,CDI,28.38,19100.55,12,2,339,0
123,28,Marié,1,3843.66,79638.33,7,Retraité,23.12,22549.98,300,0,498,0
124,68,Marié,0,2254.83,7501.08,16,CDI,25.23,1000.0,240,2,589,0
125,34,Célibataire,1,2867.95,21586.41,18,CDI,11.38,24744.4,24,0,649,0
126,25,Marié,1,3364.89,2645.05,23,CDD,21.06,6325.5,60,0,542,0
127,52,Célibataire,3,1667.47,55325.09,1,CDD,9.55,35581.97,240,2,486,0
128,52,Célibataire,0,2784.88,30556.23,8,Retraité,47.15,11237.36,120,0,698,0
129,50,Marié,0,864.4,0.0,28,Retraité,14.01,1000.0,240,1,639,0
130,22,Célibataire,2,3045.76,35842.15,1,CDI,40.13,1000.0,120,0,653,1
131,59,Marié,3,1947.21,91618.09,12,CDI,29.07,8363.45,180,0,407,0
132,56,Célibataire,2,2220.02,96361.77,24,Retraité,37.8,35497.12,60,0,311,0
133,75,Marié,0,3621.92,98363.77,11,Indépendant,30.75,13427.87,24,2,340,0
134,58,Marié,1,4318.82,10254.28,22,CDI,22.71,30551.89,48,0,786,0
135,45,Marié,1,1779.85,2557.85,3,CDI,23.6,4224.68,36,0,451,0
136,24,Marié,0,1649.89,24096.3,18,CDD,44.41,33356.73,180,1,840,0
137,26,Veuf,0,3189.5,88915.19,7,CDI,18.61,31772.27,240,1,456,0
138,25,Célibataire,0,3142.59,87516.47,25,Retraité,25.65,28176.35,48,2,311,0
139,29,Célibataire,1,1310.89,50115.47,12,Indépendant,55.22,14558.7,60,2,819,0
140,51,Marié,1,2476.57,94728.97,28,Retraité,25.51,14614.71,180,0,346,0
141,50,Célibataire,0,2478.53,74279.13,26,CDI,30.22,9342.8,60,0,857,0
142,65,Veuf,1,2458.25,30713.38,29,Indépendant,4.11,27911.83,180,0,795,0
143,72,Célibataire,0,3161.35,36198.55,13,CDD,26.22,22477.48,60,1,429,0
144,40,Marié,0,4016.56,0.0,6,CDI,28.29,36326.57,120,1,659,0
145,41,Marié,3,2267.16,45041.56,25,CDI,25.71,1000.0,180,0,417,0
146,54,Célibataire,2,4297.5,25623.43,27,CDI,36.74,21179.0,60,1,475,0
147,52,Marié,0,2376.83,9890.79,29,CDD,27.98,31537.38,120,1,842,0
148,61,Célibataire,2,4134.47,20545.03,0,CDI,18.91,19982.77,120,0,749,0
149,57,Marié,0,2924.59,109776.62,10,CDI,22.83,10251.03,60,0,604,0
150,39,Célibataire,3,3585.84,31481.82,22,Indépendant,36.58,21544.45,180,0,384,0
151,44,Divorcé,1,3445.81,113087.81,16,Indépendant,10.4,31156.06,120,0,417,0
152,52,Veuf,1,1687.7,52300.63,16,Indépendant,26.07,28517.25,120,0,538,0
153,18,Célibataire,1,2865.12,40843.2,14,Indépendant,31.44,32274.43,60,0,801,0
154,52,Célibataire,2,1584.3,70863.77,26,Indépendant,50.06,12090.91,24,0,403,0
155,54,Marié,0,2397.22,0.0,20,Retraité,53.15,19085.05,120,0,430,0
156,64,Célibataire,0,1355.87,133261.73,9,Indépendant,37.33,41089.58,60,1,366,0
157,31,Divorcé,1,2298.24,88205.35,15,CDI,28.65,1000.0,120,0,424,0
158,20,Marié,1,2560.8,58245.69,4,CDI,48.12,55966.13,240,1,579,0
159,18,Célibataire,0,1646.93,82546.09,27,CDD,44.62,1000.0,180,0,851,0
160,22,Marié,1,2499.33,52185.53,1,CDI,35.82,16227.98,120,0,814,1
161,43,Marié,1,3304.06,25718.55,6,CDI,42.23,7004.51,48,0,545,0
162,72,Divorcé,2,1520.74,49064.67,2,Indépendant,24.26,24530.32,120,1,391,0
163,31,Divorcé,0,3389.07,33132.51,14,Indépendant,8.97,23515.92,60,2,363,0
164,56,Célibataire,1,3424.41,14052.38,26,CDI,42.51,28287.35,120,0,780,0
165,44,Célibataire,0,1547.72,34205.68,10,CDI,26.15,22509.42,180,1,833,0
166,26,Veuf,2,800.0,58506.23,0,CDI,30.72,12735.54,180,1,468,0
167,32,Divorcé,1,3590.13,64218.41,22,CDI,32.1,23616.85,24,0,607,0
168,32,Célibataire,0,2254.78,106418.91,15,CDI,44.13,32359.73,60,0,676,0
169,43,Marié,1,2500.29,37627.98,10,CDD,20.05,13750.93,60,0,863,0
170,59,Marié,0,4521.7,21748.26,19,CDI,8.17,19478.65,36,0,445,0
171,30,Célibataire,2,2924.93,0.0,19,CDD,33.71,19899.09,60,0,513,0
172,68,Divorcé,1,2965.18,67688.66,18,CDI,47.88,26262.95,48,1,375,0
173,49,Célibataire,1,2491.81,108338.7,6,Indépendant,9.16,19227.63,60,0,845,0
174,56,Divorcé,1,2308.03,34363.73,17,CDI,32.64,34222.44,120,0,852,0
175,66,Célibataire,2,2436.87,27480.94,22,CDD,34.25,5009.62,180,2,624,1
176,69,Marié,0,2350.12,84604.8,27,CDI,57.01,16374.07,60,0,587,0
177,49,Célibataire,1,814.85,7457.68,9,Retraité,37.95,13543.51,120,1,599,0
178,21,Marié,0,1501.84,114805.92,7,CDD,13.55,34268.68,180,0,487,0
179,47,Marié,0,2443.11,46977.38,1,CDD,36.33,23465.88,60,1,876,0
180,54,Célibataire,1,4537.11,65027.79,23,CDD,31.97,19910.32,60,0,429,0
181,40,Marié,1,1111.92,51508.97,6,Retraité,35.16,37575.13,120,0,856,0
182,56,Marié,0,1980.83,0.0,25,CDD,4.87,34112.14,48,0,526,0
183,62,Célibataire,1,1970.87,47355.67,7,Indépendant,12.37,5464.16,12,1,307,0
184,32,Marié,0,3190.79,34711.82,18,CDI,14.36,6918.68,36,1,357,0
185,60,Célibataire,0,2593.29,65586.45,5,Indépendant,57.56,31401.97,48,2,862,1
186,46,Marié,2,1857.06,95711.08,0,CDD,30.72,1000.0,180,0,771,0
187,53,Marié,3,3654.2,69721.42,22,CDI,16.09,22645.4,48,0,400,0
188,30,Marié,0,1507.63,23360.52,10,CDD,33.81,26244.48,120,1,809,1
189,49,Célibataire,0,1992.56,115882.64,19,CDD,33.24,33636.17,60,0,707,0
190,24,Marié,0,1388.35,51805.9,3,CDI,36.56,1000.0,24,1,450,0
191,68,Marié,0,3492.74,101227.86,11,CDI,13.54,16711.6,180,1,577,1
192,39,Marié,0,2451.54,85281.86,27,CDD,33.67,3747.64,240,1,824,0
193,45,Marié,2,1788.14,10143.27,29,CDI,23.81,15467.27,36,1,706,0
194,19,Marié,0,2946.03,92415.25,8,Indépendant,19.06,27016.6,120,0,580,0
195,59,Célibataire,0,4078.85,84709.05,22,CDI,49.0,8192.25,48,0,660,0
196,62,Célibataire,0,800.0,53096.84,7,CDD,50.29,21622.08,120,0,474,0
197,74,Célibataire,0,3115.97,32132.98,5,CDI,34.04,16693.17,180,0,358,0
198,70,Célibataire,1,4233.69,82588.62,17,CDI,22.05,1000.0,300,0,397,0
199,23,Célibataire,0,4054.95,89735.1,18,Indépendant,31.66,16373.11,60,0,596,0
200,45,Célibataire,0,2250.17,33620.4,19,CDI,0.0,29918.14,48,0,723,0
201,45,Célibataire,3,2596.34,74237.09,17,CDD,52.51,33139.22,120,0,327,0
202,61,Célibataire,0,2708.03,36536.03,26,CDI,53.77,50888.41,180,0,852,1
203,61,Célibataire,0,2242.04,28031.93,0,Indépendant,53.15,18767.57,12,0,890,1
204,37,Célibataire,2,3423.95,67299.87,28,CDI,17.28,2526.74,12,1,633,0
205,47,Célibataire,1,893.87,81563.17,8,CDI,29.71,13644.95,120,0,884,0
206,28,Marié,0,3075.56,70747.6,12,Indépendant,49.12,8011.62,36,0,305,0
207,75,Marié,1,2424.05,44499.05,11,Retraité,8.47,17483.4,120,0,300,0
208,72,Célibataire,0,3510.84,4129.02,25,Indépendant,33.33,16455.51,120,1,785,1
209,45,Marié,2,3609.92,37612.91,29,CDI,23.03,41212.03,180,0,644,0
210,42,Célibataire,1,2610.04,64905.95,17,CDI,0.0,1000.0,180,0,838,0
211,56,Célibataire,2,1877.46,136165.28,26,Indépendant,38.02,24083.83,180,0,396,0
212,50,Célibataire,0,3538.21,11100.12,20,Retraité,33.0,4390.31,240,3,343,0
213,18,Marié,3,1226.03,45379.56,6,CDI,31.35,27375.48,120,0,343,0
214,74,Marié,0,1447.21,43537.38,28,CDI,13.16,31503.3,36,0,762,0
215,44,Célibataire,2,2423.52,0.0,10,CDI,47.37,35358.26,240,0,739,0
216,74,Célibataire,0,1980.22,26393.8,17,CDI,35.92,5246.47,300,0,655,0
217,69,Divorcé,3,2284.82,2245.09,21,CDI,36.68,32364.29,12,2,569,0
218,30,Célibataire,3,2196.12,33906.02,9,CDI,44.28,10022.52,120,1,558,0
219,58,Célibataire,2,2473.51,110137.32,26,Indépendant,38.79,26359.02,60,3,331,0
220,20,Divorcé,2,3987.43,76228.77,7,CDI,20.4,9492.6,60,0,805,0
221,56,Marié,0,1345.06,56947.94,13,Retraité,37.61,21187.05,180,0,664,0
222,23,Marié,0,2033.54,127991.86,13,CDD,31.3,23629.78,60,0,571,0
223,25,Marié,1,3324.64,106389.51,12,CDI,31.03,43335.27,36,2,830,0
224,44,Célibataire,3,2536.56,17876.72,6,CDD,39.03,1000.0,48,0,499,0
225,26,Célibataire,1,1529.39,0.0,14,Indépendant,14.81,43880.99,120,0,853,0
226,54,Marié,0,2412.98,0.0,5,CDI,0.0,9452.12,48,1,817,0
227,50,Célibataire,2,992.71,14809.47,11,CDD,24.92,9122.56,60,1,416,0
228,68,Marié,1,3532.29,27302.51,10,CDI,5.4,7242.63,120,2,581,0
229,59,Divorcé,1,2618.33,111890.09,23,CDI,24.22,51597.43,120,0,623,0
230,61,Veuf,0,4700.33,98083.85,17,CDD,4.71,21372.09,24,1,597,1
231,41,Célibataire,2,1379.87,86773.46,3,CDD,31.09,14047.06,60,3,420,1
232,32,Marié,0,1835.11,29866.17,3,CDD,28.34,8986.32,180,1,362,0
233,71,Marié,0,2671.15,42452.97,12,Retraité,28.81,18051.64,60,0,810,0
234,49,Divorcé,0,3817.13,33684.04,6,Indépendant,38.51,1000.0,180,0,815,0
235,49,Célibataire,1,2014.77,138184.89,29,Indépendant,46.84,18508.98,60,0,588,0
236,41,Célibataire,2,1796.37,24945.7,22,CDD,21.13,26352.72,180,2,353,0
237,58,Célibataire,3,2575.86,18253.84,18,CDI,33.26,15652.78,300,0,836,0
238,69,Célibataire,0,1828.22,72596.97,3,CDD,33.42,35703.01,120,0,787,0
239,66,Célibataire,0,2975.99,11487.23,0,CDI,7.96,10585.52,60,0,646,0
240,66,Marié,1,2576.4,72312.69,7,CDI,43.42,15933.03,60,0,498,0
241,75,Marié,1,3198.55,61570.29,11,CDI,16.25,4693.2,300,0,365,0
242,69,Célibataire,0,3394.24,20343.88,11,Indépendant,18.68,35213.24,36,0,749,0
243,29,Marié,1,2866.33,36236.69,19,CDD,25.2,5775.85,180,0,583,0
244,56,Célibataire,3,3653.85,16175.32,10,Retraité,14.21,41249.68,120,0,782,0
245,19,Divorcé,1,2162.44,90561.2,20,Retraité,17.28,9680.63,120,0,766,0
246,20,Divorcé,1,1056.08,44098.18,20,CDD,37.16,30108.87,180,0,783,0
247,66,Veuf,0,1422.37,41440.4,16,CDI,12.14,9364.58,60,0,785,0
248,54,Divorcé,2,2414.73,82377.91,29,CDI,43.8,2778.49,240,1,415,0
249,66,Célibataire,3,2917.84,77008.21,16,CDI,15.74,22450.29,240,0,834,0
250,73,Célibataire,3,3083.71,59367.65,22,CDI,41.77,1000.0,48,0,517,0
251,34,Marié,1,1852.28,91764.42,11,Indépendant,36.34,54384.77,120,1,726,0
252,66,Divorcé,0,3365.47,43777.07,27,Indépendant,14.16,23682.96,60,0,397,0
253,19,Célibataire,0,800.0,14301.75,11,CDI,15.53,19843.61,180,1,498,0
254,19,Célibataire,2,1952.89,55926.99,16,CDI,38.5,1000.0,240,0,690,0
255,45,Marié,2,2994.16,48573.57,28,CDD,45.64,23767.99,120,0,477,0
256,71,Célibataire,2,3412.66,107457.1,8,CDI,30.49,31481.81,60,0,851,0
257,40,Marié,0,3257.15,39456.36,21,Retraité,46.96,10945.05,120,0,380,0
258,54,Marié,2,3430.43,113601.96,12,CDI,47.83,18422.89,36,2,687,0
259,49,Célibataire,0,2673.5,1407.58,16,CDI,16.85,25234.94,120,0,870,0
260,50,Célibataire,2,2378.65,40555.61,28,CDD,49.6,43383.16,180,0,477,1
261,18,Marié,4,800.0,37376.78,0,CDI,39.98,2228.18,48,0,747,0
262,36,Marié,2,2257.95,37146.47,20,Retraité,17.43,37157.4,60,0,899,0
263,19,Veuf,0,1352.69,95496.4,26,Indépendant,21.16,31115.14,120,0,563,0
264,70,Célibataire,2,3116.28,31456.82,2,Indépendant,46.96,1000.0,300,0,850,0
265,61,Célibataire,0,1132.16,89665.6,7,Indépendant,52.56,1000.0,24,2,494,0
266,43,Marié,1,2344.85,46591.38,7,CDD,27.34,5675.0,36,1,371,1
267,49,Marié,1,1309.82,46088.25,25,CDI,65.35,13456.17,36,0,525,0
268,23,Célibataire,4,2488.14,0.0,7,Indépendant,53.25,1000.0,48,1,825,0
269,49,Marié,0,2368.44,100179.14,5,CDD,40.52,25266.06,24,1,767,0
270,72,Célibataire,2,800.0,111342.82,14,CDI,38.88,3143.29,60,0,704,1
271,21,Célibataire,2,2844.26,6.36,20,CDI,39.15,27713.13,48,0,494,0
272,72,Célibataire,2,2215.4,114639.91,4,CDI,7.03,14614.6,36,0,453,0
273,28,Célibataire,0,2527.92,0.0,5,Indépendant,21.29,16161.22,48,0,414,0
274,73,Marié,1,2084.84,43263.21,21,CDD,29.58,36791.98,120,0,508,0
275,34,Marié,2,1783.15,45953.48,28,Retraité,24.72,36201.17,120,0,302,0
276,55,Marié,1,3256.79,37916.61,25,Indépendant,39.92,30578.29,240,0,867,0
277,41,Divorcé,0,3531.19,93550.63,24,CDD,32.85,1652.77,48,0,835,0
278,22,Célibataire,1,3469.03,79899.38,22,CDI,39.0,2890.59,36,0,375,0
279,69,Célibataire,2,1132.54,0.0,5,Indépendant,27.34,11121.47,24,2,580,0
280,51,Célibataire,1,3888.57,108887.56,26,CDD,50.17,48130.28,60,1,779,0
281,23,Célibataire,0,3062.92,116948.35,9,CDD,33.59,1000.0,120,0,475,0
282,39,Marié,2,3749.43,77151.77,22,CDI,27.0,29114.75,48,1,879,0
283,28,Marié,1,3732.67,36034.67,18,CDI,40.5,1000.0,120,1,347,0
284,65,Marié,0,2849.1,58791.2,27,CDI,41.66,29051.33,36,0,672,0
285,33,Célibataire,0,1705.55,38622.81,1,CDD,31.67,7887.93,48,0,373,0
286,50,Célibataire,2,1741.63,89112.82,25,Retraité,7.78,27267.18,120,1,479,0
287,26,Marié,2,1819.54,0.0,6,CDI,44.98,6101.31,300,1,383,0
288,23,Célibataire,0,2318.99,66016.44,18,Retraité,6.43,10034.41,240,2,787,0
289,33,Marié,2,1511.34,96191.42,12,CDI,10.36,17768.54,12,1,659,0
290,46,Veuf,1,800.0,40186.69,3,CDD,31.97,8823.61,300,2,687,0
291,20,Célibataire,2,816.14,72078.12,10,CDI,23.87,3679.71,60,1,885,0
292,37,Marié,1,2466.17,0.0,17,Indépendant,31.64,12509.82,120,0,748,0
293,53,Marié,0,2230.67,11855.89,20,CDI,52.45,23041.93,60,0,768,0
294,36,Célibataire,0,3009.83,65866.32,27,CDI,36.82,1000.0,180,0,653,0
295,43,Marié,2,2319.55,68046.8,20,Indépendant,19.34,22900.19,120,0,516,0
296,20,Célibataire,2,3652.39,26762.23,10,CDD,43.48,1000.0,240,0,497,0
297,36,Célibataire,0,1910.71,62206.79,12,CDI,9.72,24739.82,48,1,575,0
298,37,Marié,0,2830.4,47735.9,9,Indépendant,21.18,53170.4,120,0,306,0
299,49,Divorcé,0,3052.1,0.0,25,CDD,29.91,16991.19,120,0,603,0
300,24,Célibataire,3,2553.48,40707.12,16,CDI,21.76,22878.09,120,1,328,0
301,69,Célibataire,1,3513.68,78971.89,3,CDD,40.91,2720.23,60,1,346,1
302,58,Divorcé,0,3026.17,103069.19,2,CDI,31.13,16519.18,12,1,301,0
303,50,Marié,1,3305.34,40370.22,6,Indépendant,34.98,1000.0,180,1,482,1
304,57,Marié,3,1858.97,65445.23,15,Indépendant,32.43,36703.78,180,1,366,0
305,56,Célibataire,0,2280.64,56899.67,20,CDI,44.56,1513.57,240,0,477,0
306,35,Divorcé,2,800.0,71386.74,5,CDI,15.7,17359.08,300,1,453,0
307,57,Célibataire,0,2437.2,24084.65,17,Indépendant,5.92,45701.29,36,0,534,0
308,18,Marié,0,1129.69,47125.51,0,CDI,41.65,17102.19,24,1,576,0
309,28,Célibataire,4,4846.96,71776.24,18,CDI,19.77,17681.88,180,0,575,0
310,45,Marié,0,2801.25,66111.92,9,CDI,15.86,24665.33,240,0,863,0
311,74,Célibataire,1,2101.59,74268.39,2,CDD,32.65,41531.16,36,1,858,0
